h,oc
0.063541412,22.9
0.085427288,37.7
0.067078744,31.1
0.064391914,40.2
0.064868678,17.3
0.082410706,16
0.070205303,50.3
0.070938037,4.2
0.070735581,27.5
0.063988771,20
0.065070396,35.2
0.069497683,19.3
0.066233307,38.4
0.062893981,66.7
0.048481818,62.2
0.071149527,30.7
0.088421987,13.8
0.067572777,16
0.07775511,14
0.073159995,19.5
0.073876122,5.8
0.087018706,1.1
0.062242494,37.4
0.046815848,27
0.070574582,9.4
0.057016333,53.2
0.070073548,37.4
0.060208296,46.3
0.077852512,8.2
0.065711046,35.4
0.074362103,10.6
0.078406441,7.4
0.057086213,46.3
0.059154563,25.5
0.0699707,20.3
0.072025885,15.4
0.058770553,54.2
0.065709012,15.6
0.062936801,30.8
0.069710357,16.4
0.064647954,26.8
0.071988557,26
0.058050191,24.9
0.074069744,20.1
0.06441226,34.3
0.077489928,15.4
0.077659189,18.8
0.063515571,63
0.065075147,38.6
0.069775912,15.4
0.077584213,9.9
0.071646385,16.7
0.059192106,65.5
0.067233699,21.5
0.06792226,12.3
0.067544611,31.2
0.078094361,6.3
0.068369933,17.6
0.060277662,55.7
0.057712125,58.9
0.056082219,55.6
0.069825525,8.8
0.068105119,17.8
0.074975971,10.8
0.07318259,22.3
0.064179204,11.8
0.078123746,13.5
0.072934187,11.3
0.085735667,3.1
0.080854345,5.9
0.070696725,24.3
0.075156506,10
0.078161553,11.1
0.063564738,5.7
0.035702135,10.8
0.050377172,11.7
0.079235872,7.1
0.070552436,10.6
0.084153722,11.8
0.065268704,21.9
0.037751539,11.7
0.061124114,6.7
0.083872372,17.1
0.068501733,23.3
0.073817784,4.3
0.061801922,7.2
0.060169369,26.5
0.074151128,4
0.082053059,8.7
0.084235887,2.8
0.073242942,16.3
0.066462752,5.1
0.065618191,13.8
0.083555425,14.5
0.035737777,8.9
0.055913365,12.3
0.07029288,17.8
0.037975629,6.4
0.06619691,36.3
0.034081442,11.2
0.091838298,9
0.050057862,20.6
0.069841417,11.5
0.071980552,11.2
0.090637107,7.4
0.076287709,6.9
0.098819274,0.7
0.08977616,12.4
0.110905607,5.3
0.065333159,6.7
0.081981988,7.4
0.086783027,4.6
0.074935249,19.9
0.089460774,5.2
0.075432633,5
0.036151577,8.4
0.070015693,8.7
0.11394149,3.5
0.087685505,5.8
0.076388268,13
0.068333476,10.1
0.113953291,0.9
0.075925437,9.9
0.05639011,40.1
0.05095981,21.2
0.084352136,12.1
0.091582808,11.3
0.072726787,13.3
0.091500526,12.7
0.072250472,7.7
0.086199938,5.9
0.082111159,8.2
0.088249879,6.1
0.078281564,10.3
0.051924114,18.1
0.063673515,21
0.058295606,13.2
0.060421944,42
0.079638251,3.3
0.061192652,29.6
0.069035124,11.4
0.069364632,5.8
0.073245485,23.8
0.074414275,14.1
0.072563908,23
0.073063628,22.3
0.068990713,54
0.074208322,16.4
0.080650991,19
0.080931062,24.4
0.076217131,14.4
0.076835059,12.8
0.074951987,13
0.073691778,16
0.077332117,22.4
0.070220199,14.6
0.075949751,12.8
0.078153539,9.7
0.063527595,24.3
0.067844901,10.9
0.060167914,28.1
0.078764008,16.1
0.071214802,16.1
0.078559059,16.3
0.066048054,25
0.060218639,17.8
0.076261047,15.3
0.061418595,27.4
0.045981503,16
0.070397588,31
0.072861229,14
0.072370223,9.5
0.066714972,18
0.071317016,51.5
0.075789268,35.7
0.072555433,9.7
0.065600725,18.2
0.071295594,20.3
0.073457596,35.8
0.077050086,15.2
0.079479508,13.2
0.075888253,17.9
0.058498032,10.5
0.071910632,20.8
0.074461298,13.2
0.069748675,37.2
0.054323905,201.1
0.070876187,25.9
0.074506249,36.7
0.064122575,215.7
0.044889859,49.5
0.071272213,18
0.075877048,57.9
0.06627873,48.1
0.062415629,57.7
0.070502642,22.5
0.085558002,26.5
0.070924477,37.9
0.073214256,33.8
0.058435319,141.2
0.076737127,24.5
0.040812229,15.6
0.079596833,31.1
0.064336543,33.7
0.058846576,81.1
0.077143743,18.5
0.080280534,13.7
0.067974596,55.3
0.061740084,15.4
0.066755165,38.3
0.072087805,19.9
0.071402753,18.8
0.076030173,15.9
0.094249051,17.2
0.076740129,9.5
0.079622235,9.7
0.072320258,29.4
